"ID_REF"	"GSM2911176"	"GSM2911177"	"GSM2911178"	"GSM2911179"	"GSM2911180"	"GSM2911181"	"GSM2911182"	"GSM2911183"	"GSM2911184"	"GSM2911185"	"GSM2911186"	"GSM2911187"	"GSM2911188"	"GSM2911189"	"GSM2911190"	"GSM2911191"	"GSM2911192"	"GSM2911193"	"GSM2911194"	"GSM2911195"	"GSM2911196"	"GSM2911197"	"GSM2911198"	"GSM2911199"	"GSM2911200"	"GSM2911201"	"GSM2911202"	"GSM2911203"	"GSM2911204"	"GSM2911205"
35	-0.011154746	-0.29116583	-0.07236023	-0.22102584	0.31825656	0.92849535	-0.09574549	0.42176694	0.020141028	-0.16146344	-0.09604823	-0.13098247	0.22339794	0.43207708	-0.21882802	0.1559571	0.3946994	0.16346702	0.6183106	-0.18698297	0.3291508	-0.082159944	0.0991755	0.015619579	0.042305406	0.8622784	-0.08943827	0.2619665	-0.05757392	-0.4177787
36	-0.086633556	0.13900265	-0.008463342	0.727826	0.16925636	0.38310158	-0.050881494	0.32190716	0.40592876	-0.015078188	0.085463814	-0.001247861	-0.031538628	0.07162284	-0.21221218	-0.001390477	0.001247861	0.20412652	0.24542676	-0.011785329	0.24930502	0.1919831	0.2180732	0.14465359	-0.017822012	-0.44129193	0.45975557	-0.02886166	-0.11709489	0.25512606
37	0.80181754	0.004136116	0.56341606	0.45873645	0.28071856	-0.25958252	-0.16447492	-0.20391427	-0.36160076	0.45085433	-0.19566837	-0.014323971	-0.3974495	-0.15882502	-0.19393255	0.056764908	-0.37154394	-0.0738492	0.11835228	0.06954671	0.007705774	-0.6767469	-0.24944928	0.11932705	-0.3430692	0.23615699	0.086963765	0.51941895	-0.05012735	-0.01400636
38	-0.6085973	-0.43597946	-0.40902218	-0.8081745	-0.05073849	-0.001117095	-0.1719025	0.097306326	-1.00E-03	-0.7319672	-0.07218108	1.00E-03	-0.041083135	-0.37582305	-0.18870838	-0.44516563	0.14155082	0.09280134	0.12866138	-0.23914158	-0.27697396	0.058261566	0.2653135	0.33503518	-0.19361083	0.05779806	-0.16384105	-0.20724589	-0.014604961	0.08554358
39	-0.020917866	0.010785947	-0.3913073	0.45398244	0.2354551	0.713893	-0.061918583	-0.020331843	0.046055604	0.08724815	-0.31211552	-0.06432536	0.7028038	0.910201	-0.17373946	-0.17502703	-0.30799863	-0.7683139	0.16515052	-0.2374752	-0.2042784	-0.980507	-0.5336718	-0.013331558	-0.09042922	-0.36655685	0.15050909	0.029751405	0.22538503	0.017789572
40	0.26217	0.21742727	0.31593406	0.54934144	0.013814991	0.17908667	-0.19465877	-0.21689409	-0.46906766	0.3128295	-0.14729753	-0.02828382	-0.09621155	0.13310844	-0.16686709	-0.17625834	-0.39890352	0.008523336	-0.00624184	0.21773438	0.37598696	-0.21686588	0.25359175	0.09351908	-0.35874012	0.21866232	-0.00849796	0.4134209	0.24443702	-0.02920366
41	0.22438778	0.03993687	0.12784086	0.39149636	-0.67347026	0.05002305	0.009114447	0.075680114	-0.023353182	0.11639827	-0.14350456	0.004509854	-0.34972864	-0.14650975	-0.1564421	-0.17894928	-0.98286515	-0.43286806	-0.12665856	-0.25027058	-0.31504792	-0.7061094	-0.7856829	-0.8358668	0.17638236	0.041713066	-0.52435744	0.024195803	-0.12663618	0.093154006
42	-0.8717558	-0.7063108	-0.9489572	-1.5285251	-1.3216751	-0.8142148	0.07915072	-0.9351916	-0.5465293	-1.0542891	-0.20639934	-0.2154796	0.9215335	-0.6430121	-0.15213543	-0.21042426	-0.17330049	-0.7548376	-0.6931871	-1.0064623	-0.85109174	-0.7648484	-0.94142514	-1.0954785	1.4377756	-0.67197645	0.28520724	-0.8348479	-0.56963104	-1.375017
43	0.20943257	-0.037528537	0.5004416	0.65708953	0.97688216	0.002401095	-0.22491123	-0.1301714	0.33906284	0.030112866	0.052857503	-0.05783667	0.4531378	0.043537155	-0.14956775	0.2768347	0.24864379	0.6311562	0.2632334	0.36651	0.37388167	0.21340722	0.14448282	0.36918795	-0.3856909	0.07923391	-0.13363975	-0.07003944	0.40599522	-0.041651774
44	0.30790186	-0.17082612	-0.08134498	-0.019438863	-0.21828859	-0.39252558	-0.16028246	-0.26782125	-0.31795967	0.18405095	-0.11723368	-0.22471471	-0.41209668	-0.101647615	-0.14867589	-0.13087143	-0.002300027	0.2700828	-0.07058426	0.05380548	0.12009765	0.19999735	0.21678704	-0.12788348	-0.29362652	0.6918719	-0.12055224	-0.23395978	-0.18578692	0.02009784
45	-0.93103486	-0.32046053	-0.94254327	0.08567921	-0.28123084	0.56485796	0.30587184	1.5122836	0.90081775	-1.0165843	0.53886956	0.18970007	0.7291729	0.30345383	-0.14803849	0.051366106	-0.81270456	-1.0839117	0.32058677	-0.46419927	-0.6548943	-0.6885623	-1.0312808	-1.1684929	-0.20003532	-0.9758132	-0.35419685	-1.0681598	0.16447295	-1.06377
46	-0.1528833	-0.38973048	-0.23905845	-0.34668812	-0.20123109	-0.5730224	-0.42664567	-0.41043788	-0.5241008	-0.36384985	-0.41346145	-0.2629979	-0.018074585	-0.49343452	-0.14324892	-0.22022672	0.0933738	0.1159668	-0.5092187	-0.32433748	-0.06303899	0.15807523	0.32101157	-0.08380053	0.4853497	0.03043895	1.7846261	0.13562	-0.29789257	-0.08464891
47	-1.9243054	0.06754226	-0.5996149	-2.307598	-0.55755997	0.057275016	0.5427112	0.56799245	1.0553882	-1.3471357	0.18501125	0.15269023	0.68922436	0.09594619	-0.14167996	0.058336668	-1.1049203	-2.4504511	-1.9839746	-1.2495589	-2.2147095	-0.97812974	-1.009462	-1.8610551	0.8848794	0.186605	-0.64641255	-0.28845903	-0.4630011	-0.44005877
48	0.2791884	-0.79227144	-0.3682977	-1.0515525	0.026869977	-0.18238533	-0.09241714	0.13432127	-0.095560946	-0.12615189	-0.069811694	-0.21029453	0.3311917	0.67952037	-0.12822941	0.7931057	-0.0552791	-0.22937298	0.0951348	-0.474327	-0.5186372	0.014355895	0.18065281	0.06565454	0.002881485	0.24638197	0.6983729	-0.24239793	-0.07225464	-0.21600632
49	-0.8869857	-0.6431768	-0.83339375	-1.4228252	-1.3442454	-1.0005757	0.006783019	-1.0251198	-0.4902223	-1.3997704	-0.39747185	-0.041148037	1.1989799	-0.89314234	-0.120233245	-0.34655958	-0.06760056	-1.2461206	-1.9207921	-1.4637638	-1.7603616	-1.4034823	-1.2383207	-1.4152547	0.68717533	-0.81639147	0.39090717	-0.8382467	-0.98979646	-1.598974
50	1.3927515	-0.19505975	0.40857488	0.106742814	-0.14231098	-0.009626528	-0.33665112	-0.18788178	-0.2608935	0.29095984	0.19577174	-0.26477587	-0.6286888	-0.3521642	-0.11009037	0.0427459	1.2047269	0.072040126	-0.013088136	0.15363413	0.24459985	0.1340121	0.5640387	0.7465816	-0.51893824	0.41596562	0.1082334	0.6839926	-0.058812443	-0.066501305
51	0.48646057	0.073148385	-0.24710912	-0.09712239	-0.26195174	-0.3063919	-0.26587576	-0.22565867	-0.26424706	0.22038253	-0.053906567	-0.07071802	-0.39447954	-0.15402862	-0.10933534	0.039956573	-0.37968707	0.0721723	0.33608615	0.1512727	0.43942025	-0.002907935	-0.11597338	-0.08306654	2.854198	1.0905674	0.07882066	-0.21928388	1.64885	0.46513885
52	-0.10868726	0.53263444	0.97657704	0.7221909	2.972119	2.2950463	0.16893095	0.48289555	3.392491	0.23035342	0.9627601	0.008296444	2.9147758	3.3236945	-0.10921552	2.2436519	0.071360685	-0.47483313	-0.19844118	-0.08062332	-0.3541599	-0.8954031	0.035917964	0.07362772	-0.50700146	-0.3433908	0.35083905	0.09947759	2.2267385	0.174406
53	2.487979	-0.07110221	0.47111103	0.2987555	-0.032537412	0.23190019	-0.09185615	-0.28002822	-0.21648276	0.29768127	0.31263974	-0.085178204	0.30411005	-0.32423696	-0.09975464	0.26499426	1.8523487	1.4422175	-0.0787103	0.32298264	0.4466679	0.4161493	1.7735219	0.93893605	0.3663882	1.0831562	0.16870128	1.046646	-0.16622448	-0.5408489
54	-1.2200046	0.003060659	-0.40828812	-1.0743576	-0.2427615	-0.34837925	-0.24649677	-0.09259751	0.09590201	-0.9422306	-0.45955282	-0.2862147	-0.16743298	-0.025095724	-0.099299654	-0.45940876	-0.44912	-0.4814697	-1.1021593	-0.60517585	-1.1944827	-0.8297271	-0.6398441	-0.8886825	0.2352166	0.13014404	0.009387732	-0.24660482	-0.5664178	0.046198983
55	-0.3744608	0.020481318	0.69082373	-0.12827027	-0.2396367	-0.08972946	0.32299516	0.18871081	-0.006981675	-0.007775032	-0.06117322	-0.1920168	-0.296778	-0.18179202	-0.086638056	-0.3599266	-0.1382092	-0.103689	0.14166234	-0.3045158	-0.23161374	-0.9282306	-0.00820879	-0.0993794	-0.05594394	0.27966407	0.15339307	0.21663508	0.001572004	-0.30718195
56	-0.05952167	-0.17255123	-0.37619886	-0.58178544	0.0472394	0.13899672	-0.18346411	0.3803654	0.34732005	0.042623267	-0.061656803	-0.11286932	-0.096767716	-0.11834487	-0.07145007	-0.27659178	-1.0287158	-0.12082237	-0.13734192	0.19450782	-0.1000244	0.29659316	-0.50958455	-0.22122523	0.007934717	-0.13904542	-0.57020813	-0.49644226	-0.21756789	0.84501255
57	-0.015534435	-0.110476084	-0.25875655	-0.7396534	0.042561557	-0.13631563	-0.32873312	-0.104071684	-0.20859113	0.32828492	-0.016973855	0.037281904	-0.18292715	0.23057525	-0.059618253	0.058873784	-0.6317561	-0.3074759	3.5433958	0.08886152	0.12333036	-0.6071754	-0.34852758	-0.03642943	-0.14063108	-0.37018088	-0.4515114	-0.33605304	1.4047813	0.7126945
58	-0.16860455	0.26366493	-0.11234356	0.5369222	0.824506	0.30810323	-0.018003536	0.006328375	0.6282698	-0.4953982	0.14333443	-0.15046464	0.821404	1.0093534	-0.0578027	0.043293867	-0.43964744	-0.006637252	0.07697645	-0.3515468	-0.24591888	-0.10021888	0.00606283	0.17550258	0.08335852	0.24613437	0.018860284	-0.34601393	0.8406813	0.69413036
59	-0.54001725	-0.2664247	-0.5996722	-0.16934296	0.21617493	-0.34941295	-0.2884747	0.5547357	0.1117483	-0.805151	-0.095838726	-0.47031498	0.06394646	-0.256147	-0.052335005	-0.215057	0.7634092	0.084734604	-0.4477947	-0.09316929	-0.14489882	0.47102243	0.057117514	-0.24595533	0.6139922	-0.469423	0.73787564	-0.4513616	0.34764415	-0.43496272
60	0.603205	-0.17050502	0.47626343	0.19525191	-0.16641016	-0.058546267	0.12574795	-0.10256526	-0.24242169	0.20032729	0.040267967	-0.008488447	-0.24601759	-0.13314584	-0.044858966	0.16483133	-0.321631	0.36961463	0.13081197	-0.004804551	0.16282779	0.16280113	0.37176704	0.045245808	-0.18160444	0.046564907	0.13687672	-0.22985062	0.12237731	-0.13549487
61	-0.517768	-0.29519197	-0.27556014	-0.2657204	-0.12931359	0.61306167	-0.032785054	0.24246046	0.16073918	-0.00388677	-0.013020295	0.11747982	0.1691441	0.2638561	-0.04271736	0.061623663	-0.39066893	-0.63244003	-0.30666605	-0.4299063	-0.19596694	-0.7473835	-0.48969918	-0.30951712	0.19848561	-0.0808926	-0.17903048	-0.09868212	-0.33555257	-3.4387436
62	-0.11161083	-0.09765452	-0.02661628	1.2913033	-0.18516186	0.3092087	0.052805442	0.23493621	0.0597944	0.15583886	0.14798361	0.19992031	-0.19894053	-0.08628337	-0.039887004	-0.17225112	-0.3141757	-0.05768815	0.049959026	0.04568814	0.22520311	-0.2038968	-0.055230077	-0.17835025	0.004822907	-0.17275672	-0.161736	-0.18805097	0.011099866
63	0.23262113	0.043303195	0.47329462	0.004518269	-0.3038158	-0.058958977	-0.07984973	-0.20006888	-0.26875374	0.42056772	-0.19419329	0.14251551	-0.40531138	-0.11714591	-0.029715396	-0.06706453	-0.77066624	0.07761232	0.3546176	0.21264191	0.34343874	-0.7288001	-0.97649485	0.013353024	-0.089989536	-0.052716114	-0.31215852	-0.44018325	-0.004518269	0.4265901
64	0.55066836	0.020076899	0.33439255	0.06361712	0.26330647	0.5037909	-0.04882801	0.13424155	-0.04399159	0.2665962	0.2678215	0.119215034	0.3251432	-0.015220376	-0.026747951	0.18640535	0.40795434	-0.032849006	0.27858996	0.3298237	0.21204051	-0.012666726	0.31677058	0.5456711	-0.028962743	0.4982282	-0.034602292	0.35638887	-0.007229804	0.0461148
